region,year,population,low_income_pop,grdp_per_capita,business_count,judges,practicing,aid_cases,total_cases,civil_main,criminal_trial
서울,2025,9299548.0,,,,,,23343.0,,,
경기,2025,16782096.0,,,,,,37480.0,,,
강원,2025,1508500.0,,,,,,2968.0,,,
충북,2025,1596502.0,,,,,,2948.0,,,
충남권,2025,3969447.0,,,,,,7039.0,,,
경북권,2025,4859558.0,,,,,,13482.0,,,
경남권,2025,7540931.0,,,,,,24439.0,,,
전북,2025,1724856.0,,,,,,5747.0,,,
전남권,2025,3171148.0,,,,,,10099.0,,,
제주,2025,664792.0,,,,,,3093.0,,,
