region,year,population,low_income_pop,grdp_per_capita,practicing,aid_cases,total_cases,civil_main,criminal_trial
울산,2021,1121592.0,37476.0,69392.0,,3196.459161164914,,,
경남,2021,3314183.0,151161.0,34046.0,,9445.190953686382,,,
광주권,2021,3274414.0,185123.0,40857.82808313182,,9141.0,,,
전북,2021,1786855.0,120144.0,,,6459.0,,,
제주,2021,676759.0,30634.0,29988.0,,2012.0,,,
서울,2022,9428372.0,402664.0,51612.0,,21245.0,,,
경기,2022,13589432.0,424697.0,39969.0,,20369.276302481176,,,
인천,2022,2967314.0,160101.0,35295.0,,4447.723697518824,,,
강원,2022,1536498.0,81160.0,,,2423.0,,,
충북,2022,1595058.0,73264.0,48616.0,,2746.0,,,
대전권,2022,3952700.0,163313.0,47653.638752751285,,7402.0,,,
대구권,2022,4964183.0,283232.0,35720.04385978518,,10155.0,,,
부산,2022,3317812.0,222452.0,31611.0,,7999.966980794316,,,
울산,2022,1110663.0,40376.0,77511.0,,2678.0502713203637,,,
경남,2022,3280493.0,162489.0,36501.0,,7909.98274788532,,,
광주권,2022,3248747.0,190352.0,42382.20462658373,,8162.0,,,
전북,2022,1769607.0,123431.0,,,4582.0,,,
제주,2022,678159.0,31697.0,31150.0,,1767.0,,,
서울,2023,9386034.0,418212.0,,,21262.0,,,
경기,2023,13630821.0,452805.0,,,23419.14333214399,,,
인천,2023,2997410.0,167473.0,,,5149.856667856009,,,
강원,2023,1527807.0,82055.0,,,2457.0,,,
충북,2023,1593469.0,76073.0,,,2855.0,,,
대전권,2023,3958860.0,170067.0,,,6491.0,,,
대구권,2023,4929284.0,293268.0,,,11336.0,,,
부산,2023,3293362.0,230100.0,,,8685.778344157912,,,
울산,2023,1103661.0,42577.0,,,2910.7504164715765,,,
경남,2023,3251158.0,170441.0,,,8574.471239370512,,,
광주권,2023,3223454.0,195854.0,,,8267.0,,,
전북,2023,1754757.0,126481.0,,,4377.0,,,
제주,2023,675252.0,33202.0,,,1911.0,,,
서울,2024,9331828.0,434287.0,,24572.0,22072.0,398500.0,340346.0,41876.0
경기,2024,13694685.0,483643.0,,1883.0,25925.832388363153,200902.0,138246.0,48930.0
인천,2024,3021010.0,177093.0,,748.0,5719.167611636848,81341.0,54582.0,22003.0
강원,2024,1517766.0,84290.0,,192.0,3020.0,23226.0,13904.0,7805.0
충북,2024,1591177.0,79187.0,,232.0,2891.0,24972.0,15708.0,7690.0
대전권,2024,3966416.0,178605.0,,813.0,6686.0,67013.0,43280.0,19380.0
대구권,2024,4895013.0,306063.0,,847.0,12661.0,78234.0,49661.0,23805.0
부산,2024,3266598.0,238549.0,,1210.0,9479.682731274364,64768.0,43434.0,18049.0
울산,2024,1098049.0,45042.0,,252.0,3186.543352868362,22465.0,13675.0,6967.0
경남,2024,3228380.0,178321.0,,420.0,9368.773915857273,43385.0,27262.0,13138.0
광주권,2024,3197241.0,203162.0,,629.0,8742.0,59419.0,38921.0,16962.0
전북,2024,1738690.0,130243.0,,321.0,4935.0,27523.0,17321.0,8504.0
제주,2024,670368.0,35293.0,,154.0,2495.0,14778.0,9026.0,4872.0
서울,2025,9299548.0,,,,23343.0,,,
경기,2025,13730135.0,,,,30663.956385424084,,,
